Sample	Treatment	TotalVariants	GeneJRIUVariants
CAS-55-1	CAS	907	56
CAS-55-1	CAS	907	56
CAS-55-2	CAS	954	54
CAS-55-2	CAS	954	54
CAS-55-3	CAS	1047	58
CAS-55-3	CAS	1047	58
CAS-CTRL	CAS-CTRL	956	58
CAS-CTRL	CAS-CTRL	956	58
STC-55-1	STC	1010	56
STC-55-1	STC	1010	56
STC-55-2	STC	1002	59
STC-55-2	STC	1002	59
STC-55-3	STC	944	53
STC-55-3	STC	944	53
STC-CTRL	STC-CTRL	1075	56
STC-CTRL	STC-CTRL	1075	56
WT-37-55-1	WT-37	1078	57
WT-37-55-1	WT-37	1078	57
WT-37-55-2	WT-37	1077	57
WT-37-55-2	WT-37	1077	57
WT-37-55-3	WT-37	1065	58
WT-37-55-3	WT-37	1065	58
WT-CTRL	WT	944	52
WT-CTRL	WT	944	52
WTA-55-1	WTA	987	55
WTA-55-1	WTA	987	55
WTA-55-2	WTA	1032	55
WTA-55-2	WTA	1032	55
WTA-55-3	WTA	1000	54
WTA-55-3	WTA	1000	54
