Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CAS-55-1_R1_001	38.800928541244275	39.0	150.0	150	9.090909090909092	3.067421
CAS-55-1_R2_001	37.18294779830954	39.0	150.0	150	9.090909090909092	3.067421
CAS-55-2_R1_001	38.56855151512492	37.0	150.0	150	9.090909090909092	3.136866
CAS-55-2_R2_001	36.48236537178231	37.0	150.0	150	9.090909090909092	3.136866
CAS-55-3_R1_001	37.87795469204885	38.0	150.0	150	9.090909090909092	3.4449769999999997
CAS-55-3_R2_001	33.94913827999805	38.0	150.0	150	9.090909090909092	3.4449769999999997
CAS-CTRL_R1_001	39.475454651089514	39.0	150.0	150	9.090909090909092	3.59537
CAS-CTRL_R2_001	36.60180597370132	39.0	150.0	150	9.090909090909092	3.59537
STC-55-1_R1_001	38.454916463112454	38.0	150.0	150	9.090909090909092	3.22658
STC-55-1_R2_001	32.732449419929466	38.0	150.0	150	9.090909090909092	3.22658
STC-55-2_R1_001	36.915307505000385	38.0	150.0	150	9.090909090909092	3.191817
STC-55-2_R2_001	34.19293864513003	38.0	150.0	150	9.090909090909092	3.191817
STC-55-3_R1_001	33.83681618741885	38.0	150.0	150	9.090909090909092	2.444932
STC-55-3_R2_001	31.806336858577453	38.0	150.0	150	9.090909090909092	2.444932
STC-CTRL_R1_001	42.21457044939269	39.0	150.0	150	9.090909090909092	3.555202
STC-CTRL_R2_001	39.454078941454426	39.0	150.0	150	9.090909090909092	3.555202
WT-37-55-1_R1_001	37.89717157215803	38.0	150.0	150	9.090909090909092	3.0204169999999997
WT-37-55-1_R2_001	34.51144193745431	38.0	150.0	150	9.090909090909092	3.0204169999999997
WT-37-55-2_R1_001	39.54396958811945	37.0	150.0	150	9.090909090909092	3.295555
WT-37-55-2_R2_001	35.00352368879078	37.0	150.0	150	9.090909090909092	3.295555
WT-37-55-3_R1_001	39.083441941345534	37.0	150.0	150	9.090909090909092	2.949357
WT-37-55-3_R2_001	36.29042574378442	37.0	150.0	150	9.090909090909092	2.949357
WT-CTRL_R1_001	37.141637462445786	38.0	150.0	150	9.090909090909092	3.081936
WT-CTRL_R2_001	28.442351857499787	39.0	150.0	150	9.090909090909092	3.081936
WTA-55-1_R1_001	39.31551839622863	37.0	150.0	150	9.090909090909092	3.380805
WTA-55-1_R2_001	33.707977052953595	38.0	150.0	150	9.090909090909092	3.380805
WTA-55-2_R1_001	38.89269269156357	38.0	150.0	150	9.090909090909092	3.01868
WTA-55-2_R2_001	36.329213667456095	38.0	150.0	150	9.090909090909092	3.01868
WTA-55-3_R1_001	40.53408395613872	38.0	150.0	150	9.090909090909092	3.467654
WTA-55-3_R2_001	38.758815757178525	38.0	150.0	150	9.090909090909092	3.467654
