Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CAS-55-1_R1_001	(1, 0.00019560405956665225)	(2, 0.07592697578845552)	(3, 0.0011084230042110294)	(4, 0.044662926934385595)	(5, 0.035893344930480686)	(6, 0.0009128189446443772)	(7, 0.0)	(8, 0.0)	(9, 0.03348089486249198)	(10, 0.01225133426419132)	(15, 0.08790446436925352)	(20, 0.14552290018227038)	(25, 0.19358281761779683)	(30, 0.12233077885298431)	(35, 0.0005802920433810683)	(40, 0.11526295216730928)	(45, 0.2369156369471292)	(50, 0.09746298274674392)	(55, 0.054912579655678175)	(60, 0.07531408306848)	(65, 0.023283403223750505)	(70, 0.04903793773335972)	(75, 0.0006715739378455061)	(80, 0.055629794540755895)	(85, 0.07637034499013992)	(90, 0.03972066436266818)	(95, 0.03012302517326445)	(100, 0.07229526041583467)	(105, 0.07333196193153793)	(110, 0.13273691482193023)	(115, 0.08922153170366898)	(120, 0.02313996024673496)	(125, 0.027990940923987934)	(130, 0.036264992643657325)	(135, 0.0007498155616721669)	(140, 0.016182975861481028)	(145, 0.0429742118867935)	(150, 0.0)
CAS-55-1_R2_001	(1, 0.07798081841390536)	(2, 0.18569345388194186)	(3, 0.16297078229561576)	(4, 0.008671779974121583)	(5, 0.0021842453318276166)	(6, 0.002575453450960921)	(7, 0.0006520135318888408)	(8, 0.17363120354199832)	(9, 0.15971071463617156)	(10, 0.10505242025793003)	(15, 0.05691426119857691)	(20, 0.05033544466181852)	(25, 0.016567663845295445)	(30, 0.06121103037372437)	(35, 0.05043324669160183)	(40, 0.047968635541062024)	(45, 0.011358075725503607)	(50, 0.021060037080009558)	(55, 0.07398397546342676)	(60, 0.015380999217257755)	(65, 0.022305382925917244)	(70, 0.09860400642754939)	(75, 0.1416955807500829)	(80, 0.2088594946699524)	(85, 0.06504486994123075)	(90, 0.01843242254649753)	(95, 0.04873149137337196)	(100, 0.07939568777810414)	(105, 0.060832862525228855)	(110, 0.12583861165454627)	(115, 0.03419158961225081)	(120, 0.0160851738316977)	(125, 0.0003064463599877552)	(130, 0.01461814338494781)	(135, 0.1218939297866188)	(140, 0.07633774431354548)	(145, 0.11483262323626264)	(150, 0.4468900747566115)
CAS-55-2_R1_001	(1, 3.1878951794561835e-05)	(2, 0.07803967399308737)	(3, 0.000765094843069484)	(4, 0.04431174299444095)	(5, 0.03599133657606031)	(6, 0.000573821132302113)	(7, 0.0)	(8, 0.0)	(9, 0.031018220096108662)	(10, 0.012541179635980625)	(15, 0.08647484463792843)	(20, 0.1441884989668032)	(25, 0.1952330765802556)	(30, 0.12590910800780142)	(35, 0.000643954826250149)	(40, 0.11793937005916096)	(45, 0.23774684669348325)	(50, 0.10083312452619908)	(55, 0.05658513943534725)	(60, 0.0749155367172203)	(65, 0.02314411900285189)	(70, 0.048417751985580515)	(75, 0.0006630821973268861)	(80, 0.057407616391646946)	(85, 0.07948060261420156)	(90, 0.038987958044749124)	(95, 0.03061016951313827)	(100, 0.07196992157140279)	(105, 0.07362762706472001)	(110, 0.13459293447664006)	(115, 0.09143520953716225)	(120, 0.022640431564497812)	(125, 0.02769643331911532)	(130, 0.036450393481902)	(135, 0.0009053622309655562)	(140, 0.015314648442107505)	(145, 0.044196978767980524)	(150, 0.0)
CAS-55-2_R2_001	(1, 0.07657324221053753)	(2, 0.18097680933772753)	(3, 0.16522860715121399)	(4, 0.008224769562996953)	(5, 0.001721463396906339)	(6, 0.003060379372277936)	(7, 0.0008607316984531695)	(8, 0.18706568913048885)	(9, 0.15438976354106296)	(10, 0.10460759241867519)	(15, 0.05596031198017384)	(20, 0.04948250897551888)	(25, 0.015142502102416872)	(30, 0.06331797405435871)	(35, 0.05031136172217749)	(40, 0.046677161217597435)	(45, 0.011176760499173379)	(50, 0.021594801945636184)	(55, 0.07200180052319737)	(60, 0.015639813750412034)	(65, 0.02096359870010386)	(70, 0.09804052834899546)	(75, 0.14642640138278143)	(80, 0.21012692285867487)	(85, 0.0652243353716735)	(90, 0.018113620409670034)	(95, 0.04847513409881072)	(100, 0.0794997299852783)	(105, 0.061041816896227)	(110, 0.12968995169063646)	(115, 0.0330967277531141)	(120, 0.018273015168642843)	(125, 0.0002677831950743194)	(130, 0.014186133548580015)	(135, 0.12031753986303528)	(140, 0.07816718980026562)	(145, 0.11457932854001414)	(150, 0.4369966711998536)
CAS-55-3_R1_001	(1, 8.708330999016829e-05)	(2, 0.07637206286137758)	(3, 0.0008418053299049602)	(4, 0.04217734980523818)	(5, 0.032830407866293446)	(6, 0.0004063887799541187)	(7, 2.9027769996722767e-05)	(8, 0.0)	(9, 0.03140804713645404)	(10, 0.012592246624578335)	(15, 0.09085692008974225)	(20, 0.15023612639503836)	(25, 0.20087797393132087)	(30, 0.1276873546615841)	(35, 0.0006269998319292118)	(40, 0.12213724503821072)	(45, 0.24284051823858332)	(50, 0.10151591723253886)	(55, 0.05737629017552222)	(60, 0.07930386763104659)	(65, 0.024783910023201895)	(70, 0.05096695856024583)	(75, 0.0006966664799213463)	(80, 0.05893217864734655)	(85, 0.08002956188096466)	(90, 0.03943712831754755)	(95, 0.0326678523543118)	(100, 0.07539092423548836)	(105, 0.07652300726536056)	(110, 0.13518813042873726)	(115, 0.09222122527958823)	(120, 0.02271132724543589)	(125, 0.02801179804683747)	(130, 0.03613957364591984)	(135, 0.00077794423591217)	(140, 0.016981245448082816)	(145, 0.04563745998884753)	(150, 0.0)
CAS-55-3_R2_001	(1, 0.07593664631142676)	(2, 0.17553092517018257)	(3, 0.17094453751070035)	(4, 0.009114719778970949)	(5, 0.002264166059744376)	(6, 0.0023222215997378212)	(7, 0.0012481941098590789)	(8, 0.18339745083929443)	(9, 0.1622071787416868)	(10, 0.10822713765578115)	(15, 0.05593651278368477)	(20, 0.05149526397418619)	(25, 0.01600591237619293)	(30, 0.06385528843879074)	(35, 0.05283054139403543)	(40, 0.04952718116840838)	(45, 0.011483385810703526)	(50, 0.021120605449615484)	(55, 0.07838659009915015)	(60, 0.017132189852065775)	(65, 0.02217141072349685)	(70, 0.10372202775228978)	(75, 0.14792551590329922)	(80, 0.2140681926178317)	(85, 0.06553309354460132)	(90, 0.01990724466375247)	(95, 0.051884236092142266)	(100, 0.08137064485481325)	(105, 0.06376239957480123)	(110, 0.1314783814231561)	(115, 0.03358512988620824)	(120, 0.018061078491960904)	(125, 0.0003193054699639504)	(130, 0.014891246008318778)	(135, 0.12344930024206256)	(140, 0.07851431228713573)	(145, 0.11737088520474882)	(150, 0.4642120977875905)
CAS-CTRL_R1_001	(1, 0.0001112541963692193)	(2, 0.07657070065111518)	(3, 0.0007231522763999254)	(4, 0.04252691656213408)	(5, 0.036324495114550104)	(6, 0.0003337625891076579)	(7, 0.0)	(8, 0.0)	(9, 0.031178988532473712)	(10, 0.01233252766752796)	(15, 0.09013258718852302)	(20, 0.14667753249317872)	(25, 0.19443895899448457)	(30, 0.12390379849639953)	(35, 0.0005618336916645574)	(40, 0.11463632393884356)	(45, 0.2371605704002648)	(50, 0.09884379076423289)	(55, 0.054987386555486635)	(60, 0.07557497559361066)	(65, 0.02339119478662836)	(70, 0.051043425294197815)	(75, 0.0007787793745845351)	(80, 0.05763523642907406)	(85, 0.07754973757916431)	(90, 0.03793211825208532)	(95, 0.031863201840144406)	(100, 0.07286593591202017)	(105, 0.07364471528660471)	(110, 0.1319196633448018)	(115, 0.0905052887463599)	(120, 0.022907239032422255)	(125, 0.02675107151697878)	(130, 0.03516745147231022)	(135, 0.0008010302138583789)	(140, 0.015603401040783008)	(145, 0.04202070996865413)	(150, 0.0)
CAS-CTRL_R2_001	(1, 0.07448468446919232)	(2, 0.18006491682358144)	(3, 0.16677004035745974)	(4, 0.00795467504039918)	(5, 0.0017800671419075087)	(6, 0.0024754058692151295)	(7, 0.0010847284145998881)	(8, 0.1879083376676114)	(9, 0.1585650433752298)	(10, 0.10612537791659829)	(15, 0.05632243691191727)	(20, 0.05053721870071787)	(25, 0.015531085813143015)	(30, 0.06278074301115046)	(35, 0.049836317263591785)	(40, 0.04514139017681073)	(45, 0.01181519565441109)	(50, 0.02058758903812403)	(55, 0.07484626060739227)	(60, 0.015875973821887594)	(65, 0.02114386001997013)	(70, 0.1001955292501189)	(75, 0.14720042721611404)	(80, 0.21022592945927682)	(85, 0.0631311937297135)	(90, 0.019263664101330322)	(95, 0.04995869687959793)	(100, 0.0804590348142194)	(105, 0.06167376375727672)	(110, 0.12592306216050086)	(115, 0.03353757749550116)	(120, 0.017500285088878197)	(125, 0.00023919652219382147)	(130, 0.014518672626183119)	(135, 0.11976514239146459)	(140, 0.07716591060169051)	(145, 0.11451394432283743)	(150, 0.4373124323783088)
STC-55-1_R1_001	(1, 3.0992567982197866e-05)	(2, 0.07456811856516808)	(3, 0.0006198513596439573)	(4, 0.0406932417606258)	(5, 0.03471167614006161)	(6, 0.0006818364956083531)	(7, 0.0)	(8, 0.0)	(9, 0.032108300429556993)	(10, 0.012285453948143236)	(15, 0.0903309386409139)	(20, 0.14953914051410472)	(25, 0.19785035548475477)	(30, 0.12971629403269097)	(35, 0.0005454691964866825)	(40, 0.11927799713628673)	(45, 0.2432234750106924)	(50, 0.1009799849995971)	(55, 0.05612754061576034)	(60, 0.07849797618531076)	(65, 0.023467572476120226)	(70, 0.05174519150307756)	(75, 0.0007438216315727489)	(80, 0.0601317803990603)	(85, 0.08151045379318039)	(90, 0.03817044672687489)	(95, 0.03279633543876179)	(100, 0.07561566736296636)	(105, 0.07528714614235506)	(110, 0.13261099988222824)	(115, 0.09043631337205338)	(120, 0.021744385696310025)	(125, 0.027980090374328238)	(130, 0.033781899100595675)	(135, 0.0005764617644688804)	(140, 0.015731827507763637)	(145, 0.04456111424480409)	(150, 0.0)
STC-55-1_R2_001	(1, 0.07199573542264565)	(2, 0.17389929894811224)	(3, 0.16326884813021836)	(4, 0.007469208883709687)	(5, 0.0016116135350742892)	(6, 0.002603375710504621)	(7, 0.0009297770394659361)	(8, 0.18886870928351382)	(9, 0.15951874740437244)	(10, 0.10588300925438081)	(15, 0.05561306398725585)	(20, 0.04994762256011009)	(25, 0.014678080196368912)	(30, 0.06268556800079342)	(35, 0.050214158644756986)	(40, 0.045757427368916935)	(45, 0.012136689621828685)	(50, 0.020504682977022112)	(55, 0.07562806439015925)	(60, 0.017529396450731115)	(65, 0.020864196765615604)	(70, 0.10321764840791178)	(75, 0.15254541960837792)	(80, 0.21131972552981795)	(85, 0.06603276534287078)	(90, 0.01974846431825648)	(95, 0.048776103490383006)	(100, 0.08244023083264633)	(105, 0.06251820813368954)	(110, 0.13425360598528474)	(115, 0.033143452200162404)	(120, 0.0174798083419596)	(125, 0.00024174203026114337)	(130, 0.014591301006018756)	(135, 0.12340000867791905)	(140, 0.08051249310415362)	(145, 0.11652585709946756)	(150, 0.4374910896367051)
