Impact,Region,Count
HIGH,3_UTR,191
HIGH,5_UTR,34
HIGH,core_promoter,53
HIGH,distal_promoter,264
HIGH,downstream_regulatory,105
HIGH,other,1070
HIGH,proximal_promoter,217
HIGH,upstream_regulatory,560
LOW,3_UTR,15
LOW,5_UTR,16
LOW,distal_promoter,187
LOW,downstream_regulatory,19
LOW,other,650
LOW,proximal_promoter,65
LOW,upstream_regulatory,292
MODERATE,3_UTR,3
MODERATE,5_UTR,26
MODERATE,core_promoter,30
MODERATE,distal_promoter,255
MODERATE,downstream_regulatory,116
MODERATE,other,1419
MODERATE,proximal_promoter,155
MODERATE,upstream_regulatory,671
MODIFIER,3_UTR,15
MODIFIER,5_UTR,325
MODIFIER,core_promoter,1462
MODIFIER,distal_promoter,1944
MODIFIER,downstream_regulatory,2772
MODIFIER,other,7704
MODIFIER,proximal_promoter,2136
MODIFIER,upstream_regulatory,6471
