Scaffold,Start,End,Observed,Expected,Fold_Enrichment,P_Value,Treatments,Adaptations,Gene_Presence,Q_Value
JRIU01000195.1,16000,17000,17,0.023896359939695216,711.4054208633094,0.0,WT-37: 9 (52.9%); CAS: 8 (47.1%),Temperature: 17 (100.0%),No: 9; Yes: 8,0.0
JRIU01000031.1,126500,127500,16,0.023896359939695216,669.5580431654676,0.0,WT-37: 8 (50.0%); CAS: 8 (50.0%),Temperature: 16 (100.0%),No: 8; Yes: 8,0.0
JRIU01000148.1,13000,14000,15,0.023896359939695216,627.7106654676259,0.0,WT-37: 9 (60.0%); CAS: 6 (40.0%),Temperature: 15 (100.0%),No: 9; Yes: 6,0.0
JRIU01000031.1,126000,127000,14,0.023896359939695216,585.8632877697842,0.0,WT-37: 7 (50.0%); CAS: 7 (50.0%),Temperature: 14 (100.0%),No: 7; Yes: 7,0.0
JRIU01000031.1,5000,6000,11,0.023896359939695216,460.32115467625897,0.0,WT-37: 9 (81.8%); CAS: 2 (18.2%),Temperature: 11 (100.0%),No: 9; Yes: 2,0.0
JRIU01000031.1,5500,6500,11,0.023896359939695216,460.32115467625897,0.0,WT-37: 9 (81.8%); CAS: 2 (18.2%),Temperature: 11 (100.0%),No: 9; Yes: 2,0.0
JRIU01000243.1,0,1000,10,0.023896359939695216,418.4737769784172,0.0,CAS: 9 (90.0%); WT-37: 1 (10.0%),Temperature: 10 (100.0%),Yes: 9; No: 1,0.0
JRIU01000031.1,45000,46000,9,0.023896359939695216,376.6263992805755,0.0,WT-37: 7 (77.8%); CAS: 2 (22.2%),Temperature: 9 (100.0%),No: 7; Yes: 2,0.0
JRIU01000031.1,45500,46500,9,0.023896359939695216,376.6263992805755,0.0,WT-37: 7 (77.8%); CAS: 2 (22.2%),Temperature: 9 (100.0%),No: 7; Yes: 2,0.0
JRIU01000135.1,0,1000,8,0.023896359939695216,334.7790215827338,0.0,CAS: 5 (62.5%); WT-37: 3 (37.5%),Temperature: 8 (100.0%),Yes: 5; No: 3,0.0
