Scaffold,Start,End,Region_Size,Avg_Enrichment,Max_Enrichment,Treatment_Count,Treatments
JRIU01000195.1,16000,17000,1000,751.0684574175824,830.9693571428571,2,"WTA, STC"
JRIU01000195.1,16200,17200,1000,751.0684574175824,830.9693571428571,2,"WTA, STC"
JRIU01000031.1,126400,127400,1000,482.95654945054946,596.5933846153846,2,"WTA, STC"
JRIU01000031.1,126600,127600,1000,482.95654945054946,596.5933846153846,2,"WTA, STC"
JRIU01000031.1,126800,127800,1000,482.95654945054946,596.5933846153846,2,"WTA, STC"
JRIU01000031.1,126200,127200,1000,482.95654945054946,596.5933846153846,2,"WTA, STC"
JRIU01000070.1,70000,71000,1000,445.66946291208797,522.0192115384616,2,"WTA, STC"
JRIU01000031.1,126000,127000,1000,445.66946291208797,522.0192115384616,2,"WTA, STC"
JRIU01000031.1,5000,6000,1000,397.728923076923,646.3095,2,"WTA, STC"
JRIU01000031.1,5200,6200,1000,397.728923076923,646.3095,2,"WTA, STC"
JRIU01000031.1,4800,5800,1000,397.728923076923,646.3095,2,"WTA, STC"
JRIU01000031.1,5400,6400,1000,397.728923076923,646.3095,2,"WTA, STC"
JRIU01000243.1,0,1000,1000,371.09528983516486,372.8708653846154,2,"WTA, STC"
JRIU01000135.1,0,1000,1000,324.9303255494506,372.8708653846154,2,"WTA, STC"
JRIU01000135.1,200,1200,1000,324.9303255494506,372.8708653846154,2,"WTA, STC"
JRIU01000148.1,13000,14000,1000,314.27687225274724,553.9795714285714,2,"WTA, STC"
JRIU01000148.1,13400,14400,1000,314.27687225274724,553.9795714285714,2,"WTA, STC"
JRIU01000148.1,12800,13800,1000,314.27687225274724,553.9795714285714,2,"WTA, STC"
JRIU01000148.1,13200,14200,1000,314.27687225274724,553.9795714285714,2,"WTA, STC"
JRIU01000031.1,45600,46600,1000,307.1745700549451,522.0192115384616,2,"WTA, STC"
JRIU01000094.1,78200,79200,1000,307.1745700549451,522.0192115384616,2,"WTA, STC"
JRIU01000031.1,45400,46400,1000,307.1745700549451,522.0192115384616,2,"WTA, STC"
JRIU01000031.1,45200,46200,1000,307.1745700549451,522.0192115384616,2,"WTA, STC"
JRIU01000031.1,45000,46000,1000,307.1745700549451,522.0192115384616,2,"WTA, STC"
JRIU01000126.1,79800,80800,1000,259.2340302197802,369.31971428571427,2,"WTA, STC"
JRIU01000126.1,79600,80600,1000,259.2340302197802,369.31971428571427,2,"WTA, STC"
JRIU01000126.1,79400,80400,1000,259.2340302197802,369.31971428571427,2,"WTA, STC"
JRIU01000126.1,79200,80200,1000,259.2340302197802,369.31971428571427,2,"WTA, STC"
JRIU01000031.1,44800,45800,1000,232.600396978022,372.8708653846154,2,"WTA, STC"
JRIU01000126.1,79000,80000,1000,175.78197939560437,276.9897857142857,2,"WTA, STC"
JRIU01000072.1,149000,150000,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000072.1,149400,150400,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000072.1,149200,150200,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000072.1,149600,150600,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000070.1,69800,70800,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000243.1,400,1400,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000243.1,200,1200,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000243.1,600,1600,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000031.1,5600,6600,1000,166.90410164835163,184.65985714285713,2,"WTA, STC"
JRIU01000112.1,0,1000,1000,158.0262239010989,223.72251923076922,2,"WTA, STC"
JRIU01000112.1,200,1200,1000,158.0262239010989,223.72251923076922,2,"WTA, STC"
JRIU01000149.1,1000,2000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000149.1,800,1800,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000149.1,600,1600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000149.1,400,1400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000149.1,200,1200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000176.1,64400,65400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000154.1,0,1000,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000154.1,200,1200,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000154.1,400,1400,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
JRIU01000154.1,600,1600,1000,83.45205082417581,92.32992857142857,2,"WTA, STC"
