GeneID	SCGeneID	GeneName	Treatment	VariantCount	SynonymousCount	MissenseCount	NonsenseCount	OtherCount
W3030AD00260	YMR202W	ERG2	CAS	0	0	0	0	0
W3030AD00260	YMR202W	ERG2	STC	0	0	0	0	0
W3030AD00260	YMR202W	ERG2	WT	0	0	0	0	0
W3030AD00260	YMR202W	ERG2	WT-37	0	0	0	0	0
W3030AD00260	YMR202W	ERG2	WTA	0	0	0	0	0
W3030AJ00440	YGR175C	ERG1	CAS	0	0	0	0	0
W3030AJ00440	YGR175C	ERG1	STC	0	0	0	0	0
W3030AJ00440	YGR175C	ERG1	WT	0	0	0	0	0
W3030AJ00440	YGR175C	ERG1	WT-37	0	0	0	0	0
W3030AJ00440	YGR175C	ERG1	WTA	0	0	0	0	0
W3030BY00190	YHR190W	ERG9	CAS	0	0	0	0	0
W3030BY00190	YHR190W	ERG9	STC	0	0	0	0	0
W3030BY00190	YHR190W	ERG9	WT	0	0	0	0	0
W3030BY00190	YHR190W	ERG9	WT-37	0	0	0	0	0
W3030BY00190	YHR190W	ERG9	WTA	0	0	0	0	0
W3030CB00150	YHR072W	ERG7	CAS	0	0	0	0	0
W3030CB00150	YHR072W	ERG7	STC	0	0	0	0	0
W3030CB00150	YHR072W	ERG7	WT	0	0	0	0	0
W3030CB00150	YHR072W	ERG7	WT-37	0	0	0	0	0
W3030CB00150	YHR072W	ERG7	WTA	0	0	0	0	0
W3030CB00160	YHR072W	ERG7	CAS	0	0	0	0	0
W3030CB00160	YHR072W	ERG7	STC	0	0	0	0	0
W3030CB00160	YHR072W	ERG7	WT	0	0	0	0	0
W3030CB00160	YHR072W	ERG7	WT-37	0	0	0	0	0
W3030CB00160	YHR072W	ERG7	WTA	0	0	0	0	0
W3030E01010	YLR056W	ERG3	CAS	0	0	0	0	0
W3030E01010	YLR056W	ERG3	STC	0	0	0	0	0
W3030E01010	YLR056W	ERG3	WT	0	0	0	0	0
W3030E01010	YLR056W	ERG3	WT-37	0	0	0	0	0
W3030E01010	YLR056W	ERG3	WTA	0	0	0	0	0
W3030EI00110	YHR007C	ERG11	CAS	0	0	0	0	0
W3030EI00110	YHR007C	ERG11	STC	0	0	0	0	0
W3030EI00110	YHR007C	ERG11	WT	0	0	0	0	0
W3030EI00110	YHR007C	ERG11	WT-37	0	0	0	0	0
W3030EI00110	YHR007C	ERG11	WTA	0	0	0	0	0
W3030O00140	YNL280C	ERG24	CAS	0	0	0	0	0
W3030O00140	YNL280C	ERG24	STC	0	0	0	0	0
W3030O00140	YNL280C	ERG24	WT	0	0	0	0	0
W3030O00140	YNL280C	ERG24	WT-37	0	0	0	0	0
W3030O00140	YNL280C	ERG24	WTA	0	0	0	0	0
W3030S00270	YML008C	ERG6	CAS	0	0	0	0	0
W3030S00270	YML008C	ERG6	STC	0	0	0	0	0
W3030S00270	YML008C	ERG6	WT	0	0	0	0	0
W3030S00270	YML008C	ERG6	WT-37	0	0	0	0	0
W3030S00270	YML008C	ERG6	WTA	0	0	0	0	0
W3030S00490	YMR015C	ERG5	CAS	0	0	0	0	0
W3030S00490	YMR015C	ERG5	STC	0	0	0	0	0
W3030S00490	YMR015C	ERG5	WT	0	0	0	0	0
W3030S00490	YMR015C	ERG5	WT-37	0	0	0	0	0
W3030S00490	YMR015C	ERG5	WTA	0	0	0	0	0
W3030W00270	YGR060W	ERG25	CAS	0	0	0	0	0
W3030W00270	YGR060W	ERG25	STC	0	0	0	0	0
W3030W00270	YGR060W	ERG25	WT	0	0	0	0	0
W3030W00270	YGR060W	ERG25	WT-37	0	0	0	0	0
W3030W00270	YGR060W	ERG25	WTA	0	0	0	0	0
W3030X00260	YHR190W	ERG9	CAS	0	0	0	0	0
W3030X00260	YHR190W	ERG9	STC	0	0	0	0	0
W3030X00260	YHR190W	ERG9	WT	0	0	0	0	0
W3030X00260	YHR190W	ERG9	WT-37	0	0	0	0	0
W3030X00260	YHR190W	ERG9	WTA	0	0	0	0	0
W3030Y00390	YGL012W	ERG4	CAS	0	0	0	0	0
W3030Y00390	YGL012W	ERG4	STC	0	0	0	0	0
W3030Y00390	YGL012W	ERG4	WT	0	0	0	0	0
W3030Y00390	YGL012W	ERG4	WT-37	0	0	0	0	0
W3030Y00390	YGL012W	ERG4	WTA	0	0	0	0	0
