Scaffold,Start,End,Observed,Expected,Fold_Enrichment,P_Value,Treatments,Adaptations,Gene_Presence,Q_Value
JRIU01000195.1,16000,17000,18,0.025873396913123237,695.6952757475083,0.0,WT-37: 9 (50.0%); WTA: 9 (50.0%),Temperature: 9 (50.0%); Low Oxygen: 9 (50.0%),No: 18,0.0
JRIU01000031.1,126500,127500,16,0.025873396913123237,618.3958006644518,0.0,WT-37: 8 (50.0%); WTA: 8 (50.0%),Temperature: 8 (50.0%); Low Oxygen: 8 (50.0%),No: 16,0.0
JRIU01000031.1,126000,127000,14,0.025873396913123237,541.0963255813954,0.0,WT-37: 7 (50.0%); WTA: 7 (50.0%),Temperature: 7 (50.0%); Low Oxygen: 7 (50.0%),No: 14,0.0
JRIU01000031.1,45500,46500,14,0.025873396913123237,541.0963255813954,0.0,WT-37: 7 (50.0%); WTA: 7 (50.0%),Temperature: 7 (50.0%); Low Oxygen: 7 (50.0%),No: 14,0.0
JRIU01000031.1,45000,46000,14,0.025873396913123237,541.0963255813954,0.0,WT-37: 7 (50.0%); WTA: 7 (50.0%),Temperature: 7 (50.0%); Low Oxygen: 7 (50.0%),No: 14,0.0
JRIU01000031.1,5000,6000,11,0.025873396913123237,425.14711295681064,0.0,WT-37: 9 (81.8%); WTA: 2 (18.2%),Temperature: 9 (81.8%); Low Oxygen: 2 (18.2%),No: 11,0.0
JRIU01000031.1,5500,6500,11,0.025873396913123237,425.14711295681064,0.0,WT-37: 9 (81.8%); WTA: 2 (18.2%),Temperature: 9 (81.8%); Low Oxygen: 2 (18.2%),No: 11,0.0
JRIU01000070.1,70000,71000,10,0.025873396913123237,386.49737541528236,0.0,WTA: 7 (70.0%); WT-37: 3 (30.0%),Low Oxygen: 7 (70.0%); Temperature: 3 (30.0%),No: 10,0.0
JRIU01000148.1,13000,14000,10,0.025873396913123237,386.49737541528236,0.0,WT-37: 9 (90.0%); WTA: 1 (10.0%),Temperature: 9 (90.0%); Low Oxygen: 1 (10.0%),No: 10,0.0
JRIU01000135.1,0,1000,8,0.025873396913123237,309.1979003322259,0.0,WTA: 5 (62.5%); WT-37: 3 (37.5%),Low Oxygen: 5 (62.5%); Temperature: 3 (37.5%),No: 8,0.0
JRIU01000243.1,0,1000,6,0.025873396913123237,231.89842524916943,4.0756287233989497e-13,WTA: 5 (83.3%); WT-37: 1 (16.7%),Low Oxygen: 5 (83.3%); Temperature: 1 (16.7%),No: 6,2.704735425528394e-12
JRIU01000072.1,149500,150500,4,0.025873396913123237,154.59895016611296,1.8290143177779328e-08,WT-37: 2 (50.0%); WTA: 2 (50.0%),Temperature: 2 (50.0%); Low Oxygen: 2 (50.0%),No: 4,7.41766917765495e-08
JRIU01000072.1,149000,150000,4,0.025873396913123237,154.59895016611296,1.8290143177779328e-08,WT-37: 2 (50.0%); WTA: 2 (50.0%),Temperature: 2 (50.0%); Low Oxygen: 2 (50.0%),No: 4,7.41766917765495e-08
JRIU01000147.1,0,1000,4,0.025873396913123237,154.59895016611296,1.8290143177779328e-08,WT-37: 2 (50.0%); WTA: 2 (50.0%),Temperature: 2 (50.0%); Low Oxygen: 2 (50.0%),No: 4,7.41766917765495e-08
JRIU01000126.1,79500,80500,4,0.025873396913123237,154.59895016611296,1.8290143177779328e-08,WT-37: 2 (50.0%); WTA: 2 (50.0%),Temperature: 2 (50.0%); Low Oxygen: 2 (50.0%),No: 4,7.41766917765495e-08
JRIU01000098.1,7500,8500,4,0.025873396913123237,154.59895016611296,1.8290143177779328e-08,WT-37: 2 (50.0%); WTA: 2 (50.0%),Temperature: 2 (50.0%); Low Oxygen: 2 (50.0%),No: 4,7.41766917765495e-08
JRIU01000095.1,33000,34000,4,0.025873396913123237,154.59895016611296,1.8290143177779328e-08,WT-37: 2 (50.0%); WTA: 2 (50.0%),Temperature: 2 (50.0%); Low Oxygen: 2 (50.0%),No: 4,7.41766917765495e-08
JRIU01000095.1,32500,33500,4,0.025873396913123237,154.59895016611296,1.8290143177779328e-08,WT-37: 2 (50.0%); WTA: 2 (50.0%),Temperature: 2 (50.0%); Low Oxygen: 2 (50.0%),No: 4,7.41766917765495e-08
