w303_gene_id	locus_tag	sc_gene_id	std_gene_name	erg_name	w303_scaffold	chromosome_id	start	end	strand	product
W3030C00100	W303_0C00100				w303_scaffold_3	CM007966.1	2477	3403	+	hypothetical protein
W3030C00110	W303_0C00110				w303_scaffold_3	CM007966.1	3665	3694	+	hypothetical protein
W3030C00120	W303_0C00120		YCL073C		w303_scaffold_3	CM007966.1	6132	7979	-	hypothetical protein
W3030C00130	W303_0C00130		YKR105C		w303_scaffold_3	CM007966.1	9359	10735	+	hypothetical protein
W3030C00140	W303_0C00140		YCL068C		w303_scaffold_3	CM007966.1	11156	11938	-	hypothetical protein
W3030C00150	W303_0C00150		YCL067C		w303_scaffold_3	CM007966.1	12039	12671	-	hypothetical protein
W3030C00160	W303_0C00160		YCL066W		w303_scaffold_3	CM007966.1	12935	13462	+	hypothetical protein
W3030C00170	W303_0C00170		YCL064C		w303_scaffold_3	CM007966.1	15451	16533	-	hypothetical protein
W3030C00180	W303_0C00180		YCL063W		w303_scaffold_3	CM007966.1	16943	18214	+	hypothetical protein
W3030C00190	W303_0C00190		YCL061C		w303_scaffold_3	CM007966.1	18469	21759	-	hypothetical protein
W3030C00200	W303_0C00200		YCL059C		w303_scaffold_3	CM007966.1	22082	23032	-	hypothetical protein
W3030C00210	W303_0C00210		YCL058W		w303_scaffold_3	CM007966.1	23180	23578	+	hypothetical protein
W3030C00220	W303_0C00220		YCL057C		w303_scaffold_3	CM007966.1	23685	23978	-	hypothetical protein
W3030C00230	W303_0C00230		YCL057W		w303_scaffold_3	CM007966.1	24421	26559	+	hypothetical protein
W3030C00240	W303_0C00240		YCL056C		w303_scaffold_3	CM007966.1	26578	27012	-	hypothetical protein
W3030C00250	W303_0C00250		YCL055W		w303_scaffold_3	CM007966.1	27583	28590	+	hypothetical protein
W3030C00260	W303_0C00260		YCL054W		w303_scaffold_3	CM007966.1	31103	33628	+	hypothetical protein
W3030C00270	W303_0C00270		YCL052C		w303_scaffold_3	CM007966.1	33797	35047	-	hypothetical protein
W3030C00280	W303_0C00280		YCL051W		w303_scaffold_3	CM007966.1	35519	37270	+	hypothetical protein
W3030C00290	W303_0C00290		YCL050C		w303_scaffold_3	CM007966.1	37490	38455	-	hypothetical protein
W3030C00300	W303_0C00300		YCL049C		w303_scaffold_3	CM007966.1	39440	40378	-	hypothetical protein
W3030C00310	W303_0C00310		YDR524C		w303_scaffold_3	CM007966.1	41142	41381	+	hypothetical protein
W3030C00320	W303_0C00320		YCL048W		w303_scaffold_3	CM007966.1	41817	43208	+	hypothetical protein
W3030C00330	W303_0C00330		YCL047C		w303_scaffold_3	CM007966.1	43313	44089	-	hypothetical protein
W3030C00340	W303_0C00340		YCL045C		w303_scaffold_3	CM007966.1	44275	46557	-	hypothetical protein
W3030C00350	W303_0C00350		YCL044C		w303_scaffold_3	CM007966.1	46763	48016	-	hypothetical protein
W3030C00360	W303_0C00360		YCL043C		w303_scaffold_3	CM007966.1	48305	49873	-	hypothetical protein
W3030C00370	W303_0C00370		YCL040W		w303_scaffold_3	CM007966.1	50490	51992	+	hypothetical protein
W3030C00380	W303_0C00380		YCL039W		w303_scaffold_3	CM007966.1	52297	54534	+	hypothetical protein
W3030C00390	W303_0C00390		YCL038C		w303_scaffold_3	CM007966.1	54593	56179	-	hypothetical protein
W3030C00400	W303_0C00400		YCL037C		w303_scaffold_3	CM007966.1	57025	58425	-	hypothetical protein
W3030C00410	W303_0C00410		YCL036W		w303_scaffold_3	CM007966.1	58677	60377	+	hypothetical protein
W3030C00420	W303_0C00420		YCL035C		w303_scaffold_3	CM007966.1	60492	60824	-	hypothetical protein
