#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JRIU01000371.1	1	283	617	283	100	241.049	39.2	54.3
JRIU01000370.1	1	1261	867	1261	100	96.0293	39.2	57.7
JRIU01000369.1	1	339	3095	339	100	1062.45	39.3	58.9
JRIU01000368.1	1	300	188	300	100	81.4333	38.9	56.2
JRIU01000367.1	1	203	142	203	100	78.8571	39.1	57.5
JRIU01000366.1	1	243	233	243	100	99.2798	39.3	59.9
JRIU01000365.1	1	1642	2131	1642	100	182.139	39.2	60
JRIU01000364.1	1	1260	733	1260	100	78.4214	39.2	57.8
JRIU01000363.1	1	639	375	639	100	80.5822	39.1	59.9
JRIU01000362.1	1	346	229	346	100	82.0723	39.2	58.2
JRIU01000361.1	1	329	224	329	100	88.465	39.1	59.8
JRIU01000360.1	1	466	358	466	100	104.8	39.2	60
JRIU01000359.1	1	1539	1599	1539	100	144.008	39.3	59.2
JRIU01000358.1	1	473	308	473	100	87.7865	39.2	60
JRIU01000357.1	1	607	665	607	100	119.631	39.2	48.5
JRIU01000356.1	1	344	3420	344	100	1097.97	39.3	59.9
JRIU01000355.1	1	367	4605	367	100	1406.53	39.2	60
JRIU01000354.1	1	330	321	330	100	113.145	39.1	40.9
JRIU01000353.1	1	222	3208	222	100	1603.21	39.3	57.7
JRIU01000352.1	1	244	1654	244	100	684.557	39.3	59.9
JRIU01000351.1	1	781	467	781	100	84.8182	39.2	57.1
JRIU01000350.1	1	730	509	730	100	89.3041	39.1	60
JRIU01000349.1	1	309	210	309	100	88.0647	39.2	59.8
JRIU01000348.1	1	216	1755	216	100	783.273	39.4	59.9
JRIU01000347.1	1	210	157	210	100	86.819	39.2	59.4
JRIU01000346.1	1	394	247	394	100	78.6193	38.9	58.9
JRIU01000345.1	1	344	190	344	100	75.436	39.1	60
JRIU01000344.1	1	210	2749	210	100	1279.69	39.1	60
JRIU01000343.1	1	220	230	220	100	104.923	39.2	56.3
JRIU01000342.1	1	303	220	303	100	84.4488	39.2	56.6
JRIU01000341.1	1	236	132	236	100	69.661	39.3	57.5
JRIU01000340.1	1	278	440	278	100	176.234	39.3	55.3
JRIU01000339.1	1	387	1884	387	100	573.868	39.3	60
JRIU01000338.1	1	479	5656	479	100	1512.98	39.2	58.8
JRIU01000337.1	1	282	1314	282	100	363.667	39.2	56
JRIU01000336.1	1	216	230	216	100	113.94	39.2	58.6
JRIU01000335.1	1	584	418	584	100	98.4606	39.3	59.9
JRIU01000334.1	1	433	400	433	100	110.249	39.2	59.4
JRIU01000333.1	1	785	4180	785	100	692.08	39.2	60
JRIU01000332.1	1	386	2576	386	100	774.104	39.3	59.9
JRIU01000331.1	1	901	677	901	100	94.7913	39.3	54.1
JRIU01000330.1	1	256	331	256	100	107.426	39.3	52.5
JRIU01000329.1	1	241	212	241	100	93.6141	39.2	57.6
JRIU01000328.1	1	217	239	217	100	113.636	39.4	59.9
JRIU01000327.1	1	969	377	965	99.5872	51.2869	39.2	29
JRIU01000326.1	1	1240	678	1240	100	71.6645	39.3	57.9
JRIU01000325.1	1	1039	923	1039	100	113.579	39.2	59.9
JRIU01000324.1	1	4966	3412	4966	100	93.5457	39.1	55.1
JRIU01000323.1	1	1059	714	1059	100	95.3126	39.2	57
JRIU01000322.1	1	3431	2050	3431	100	86.2384	39.2	59.5
JRIU01000321.1	1	2960	992	2869	96.9257	47.5473	39.2	57.4
JRIU01000320.1	1	19759	9209	19759	100	67.8451	39.2	34.7
JRIU01000319.1	1	15446	7841	15446	100	73.7826	39.2	30.3
JRIU01000318.1	1	2936	3893	2936	100	178.75	39.2	25.6
JRIU01000317.1	1	1483	4388	1362	91.8409	314.535	39.3	46.8
JRIU01000316.1	1	1799	1031	1799	100	78.7276	39.1	60
JRIU01000315.1	1	1982	731	1982	100	51.3234	39.2	52.8
JRIU01000314.1	1	414	1335	414	100	329.14	39.1	34
JRIU01000313.1	1	2343	7689	2343	100	313.006	39.1	59
JRIU01000312.1	1	1697	52	851	50.1473	4.29287	39.3	50.8
JRIU01000311.1	1	2300	536	2296	99.8261	33.5422	39.2	17.5
JRIU01000310.1	1	386	350	386	100	121.104	39.2	59.7
JRIU01000309.1	1	4416	2515	4416	100	82.7163	39.2	59.9
JRIU01000308.1	1	318	347	318	100	118.874	39.3	60
JRIU01000307.1	1	368	418	368	100	127.473	39	59.9
JRIU01000306.1	1	2554	1577	2554	100	85.6386	39.2	59.8
JRIU01000305.1	1	311	191	311	100	81.2765	39.2	59.7
JRIU01000304.1	1	265	321	265	100	136.468	39.2	56.5
JRIU01000303.1	1	667	550	667	100	108.267	39.3	59.9
JRIU01000302.1	1	2264	1357	2264	100	82.6449	39.2	56.7
JRIU01000301.1	1	557	660	557	100	149.551	39.2	58.5
JRIU01000300.1	1	272	174	272	100	80.886	39.2	58
JRIU01000299.1	1	260	148	260	100	74.6192	39.1	58.6
JRIU01000298.1	1	896	686	896	100	91.2757	39.1	54.7
JRIU01000297.1	1	3237	3175	3237	100	141.63	39.2	59.4
JRIU01000296.1	1	312	331	312	100	125.689	39.2	59.5
JRIU01000295.1	1	1382	851	1382	100	86.9378	39.2	59.5
JRIU01000294.1	1	338	203	338	100	79.9024	39.3	59.7
JRIU01000293.1	1	449	253	449	100	74.2762	39	56.7
JRIU01000292.1	1	2913	1932	2913	100	94.0735	39.1	59.6
JRIU01000291.1	1	214	243	214	100	111.248	39.3	60
JRIU01000290.1	1	225	143	225	100	71.48	39.2	59.8
JRIU01000289.1	1	219	138	219	100	74.9452	39	58.1
JRIU01000288.1	1	2257	1373	2257	100	86.5126	39.1	58.2
JRIU01000287.1	1	331	201	331	100	79.2779	39.1	59.5
JRIU01000286.1	1	1314	822	1314	100	88.8105	39.2	59.1
JRIU01000285.1	1	278	183	278	100	74.5108	39.4	57.4
JRIU01000284.1	1	5502	3123	5502	100	82.9978	39.2	59.7
JRIU01000283.1	1	981	2869	981	100	294.095	39.2	47.9
JRIU01000282.1	1	251	293	251	100	118.61	39.2	59.9
JRIU01000281.1	1	302	1601	302	100	568.285	39.2	60
JRIU01000280.1	1	226	432	226	100	209.456	39.2	34.1
JRIU01000279.1	1	229	203	229	100	79.4891	38.9	49.3
JRIU01000278.1	1	387	268	387	100	88.323	39.3	59.4
JRIU01000277.1	1	212	1909	212	100	854.005	39.4	59.6
JRIU01000276.1	1	300	414	300	100	125.35	39.3	51.9
JRIU01000275.1	1	210	533	210	100	276.905	39.1	48.8
JRIU01000274.1	1	247	2254	247	100	774.923	39.3	59.7
JRIU01000273.1	1	252	349	252	100	156.397	39.1	58.8
JRIU01000272.1	1	6186	3935	6186	100	92.5687	39.2	59.7
JRIU01000271.1	1	342	222	342	100	82.2076	39.2	59.3
JRIU01000270.1	1	251	253	251	100	103.614	39.3	59.6
JRIU01000269.1	1	262	399	262	100	133.954	39.2	49
JRIU01000268.1	1	257	164	257	100	82.6537	39.2	59.4
JRIU01000267.1	1	421	635	421	100	180.309	39.1	59.9
JRIU01000266.1	1	724	395	724	100	76.8743	38.9	58.8
JRIU01000265.1	1	16337	4800	16337	100	43.2281	39.2	59.9
JRIU01000264.1	1	2795	711	2795	100	36.6537	39.1	59.2
JRIU01000263.1	1	1415	614	1407	99.4346	62.7131	39.1	43.3
JRIU01000262.1	1	3968	1039	3960	99.7984	37.9866	39.1	18
JRIU01000261.1	1	322	122	322	100	41.736	38.9	45.9
JRIU01000260.1	1	1073	164	1042	97.1109	21.7698	39.3	48.2
JRIU01000259.1	1	39731	12116	39731	100	44.9174	39.2	59.8
JRIU01000258.1	1	2557	770	2117	82.7923	41.5714	39.2	57.3
JRIU01000257.1	1	3663	1119	3663	100	44.8245	39.1	60
JRIU01000256.1	1	1724	368	1713	99.3619	31.54	39.2	36.9
JRIU01000255.1	1	68639	20490	68639	100	44.1918	39.2	59.2
JRIU01000254.1	1	4950	458	3365	67.9798	12.4947	39.1	48.6
JRIU01000253.1	1	162921	46924	162407	99.6845	42.5364	39.2	59.9
JRIU01000252.1	1	102309	31021	102077	99.7732	44.3285	39.2	59
JRIU01000251.1	1	3620	896	3620	100	35.9395	39.1	60
JRIU01000250.1	1	1881	633	1881	100	47.3514	39.2	54.7
JRIU01000249.1	1	103684	31405	103304	99.6335	44.5156	39.2	59.4
JRIU01000248.1	1	240	75	240	100	37.3875	39.2	47.4
JRIU01000247.1	1	126718	39670	126215	99.6031	45.7264	39.2	59.2
JRIU01000246.1	1	38089	11027	38089	100	42.6644	39.2	59.6
JRIU01000245.1	1	336	124	336	100	44.6875	39	48.6
JRIU01000244.1	1	40110	12390	40110	100	45.7377	39.3	59.9
JRIU01000243.1	1	9473	4430	9127	96.3475	55.8514	39.2	50.5
JRIU01000242.1	1	26286	6924	26272	99.9467	38.8958	39.2	54.9
JRIU01000241.1	1	252	1157	252	100	232.079	39.1	45.2
JRIU01000240.1	1	61119	19164	60967	99.7513	45.7346	39.2	56.9
JRIU01000239.1	1	215	241	215	100	106.781	39.2	58.5
JRIU01000238.1	1	3011	964	2998	99.5682	46.7655	39.2	10.2
JRIU01000237.1	1	25567	7952	25419	99.4211	45.9759	39.2	56.6
JRIU01000236.1	1	264	97	264	100	45.2424	39.3	48.5
JRIU01000235.1	1	74472	22321	74028	99.4038	44.1388	39.2	59.6
JRIU01000234.1	1	791	237	604	76.359	37.1896	39.2	58.5
JRIU01000233.1	1	5473	1719	5473	100	45.7294	39.2	59.1
JRIU01000232.1	1	3434	1245	3419	99.5632	52.9709	39.2	33
JRIU01000231.1	1	272	349	272	100	102.739	38.5	28.7
JRIU01000230.1	1	162216	45594	162142	99.9544	41.4421	39.2	59.9
JRIU01000229.1	1	15387	4183	15360	99.8245	40.1007	39.2	57.2
JRIU01000228.1	1	58506	17609	58104	99.3129	43.1046	39.2	57.7
JRIU01000227.1	1	161315	50776	161155	99.9008	46.4302	39.2	59.8
