Scaffold,Start,End,Observed,Expected,Fold_Enrichment,P_Value,Treatments,Adaptations,Gene_Presence,Q_Value
JRIU01000195.1,16000,17000,17,0.018480997795088026,919.8637534883721,0.0,STC: 9 (52.9%); CAS: 8 (47.1%),Low Oxygen: 9 (52.9%); Temperature: 8 (47.1%),Yes: 17,0.0
JRIU01000243.1,0,1000,13,0.018480997795088026,703.425223255814,0.0,CAS: 9 (69.2%); STC: 4 (30.8%),Temperature: 9 (69.2%); Low Oxygen: 4 (30.8%),Yes: 13,0.0
JRIU01000148.1,13000,14000,12,0.018480997795088026,649.3155906976745,0.0,STC: 6 (50.0%); CAS: 6 (50.0%),Low Oxygen: 6 (50.0%); Temperature: 6 (50.0%),Yes: 12,0.0
JRIU01000031.1,126500,127500,12,0.018480997795088026,649.3155906976745,0.0,CAS: 8 (66.7%); STC: 4 (33.3%),Temperature: 8 (66.7%); Low Oxygen: 4 (33.3%),Yes: 12,0.0
JRIU01000031.1,126000,127000,11,0.018480997795088026,595.2059581395349,0.0,CAS: 7 (63.6%); STC: 4 (36.4%),Temperature: 7 (63.6%); Low Oxygen: 4 (36.4%),Yes: 11,0.0
JRIU01000031.1,5500,6500,9,0.018480997795088026,486.98669302325584,0.0,STC: 7 (77.8%); CAS: 2 (22.2%),Low Oxygen: 7 (77.8%); Temperature: 2 (22.2%),Yes: 9,0.0
JRIU01000031.1,5000,6000,9,0.018480997795088026,486.98669302325584,0.0,STC: 7 (77.8%); CAS: 2 (22.2%),Low Oxygen: 7 (77.8%); Temperature: 2 (22.2%),Yes: 9,0.0
JRIU01000135.1,0,1000,8,0.018480997795088026,432.8770604651163,0.0,CAS: 5 (62.5%); STC: 3 (37.5%),Temperature: 5 (62.5%); Low Oxygen: 3 (37.5%),Yes: 8,0.0
JRIU01000126.1,79500,80500,8,0.018480997795088026,432.8770604651163,0.0,STC: 4 (50.0%); CAS: 4 (50.0%),Low Oxygen: 4 (50.0%); Temperature: 4 (50.0%),Yes: 8,0.0
JRIU01000126.1,79000,80000,7,0.018480997795088026,378.76742790697676,1.1102230246251565e-16,CAS: 4 (57.1%); STC: 3 (42.9%),Temperature: 4 (57.1%); Low Oxygen: 3 (42.9%),Yes: 7,8.215650382226158e-16
JRIU01000070.1,70000,71000,6,0.018480997795088026,324.6577953488372,5.4511950509095186e-14,STC: 4 (66.7%); CAS: 2 (33.3%),Low Oxygen: 4 (66.7%); Temperature: 2 (33.3%),Yes: 6,3.667167579702767e-13
JRIU01000243.1,500,1500,5,0.018480997795088026,270.5481627906977,1.7691292875099407e-11,CAS: 3 (60.0%); STC: 2 (40.0%),Temperature: 3 (60.0%); Low Oxygen: 2 (40.0%),Yes: 5,1.09096306063113e-10
JRIU01000072.1,149500,150500,4,0.018480997795088026,216.43853023255815,4.789293406304296e-09,STC: 2 (50.0%); CAS: 2 (50.0%),Low Oxygen: 2 (50.0%); Temperature: 2 (50.0%),Yes: 4,2.5314836576179848e-08
JRIU01000072.1,149000,150000,4,0.018480997795088026,216.43853023255815,4.789293406304296e-09,STC: 2 (50.0%); CAS: 2 (50.0%),Low Oxygen: 2 (50.0%); Temperature: 2 (50.0%),Yes: 4,2.5314836576179848e-08
JRIU01000031.1,45000,46000,3,0.018480997795088026,162.3288976744186,1.037547845306186e-06,CAS: 2 (66.7%); STC: 1 (33.3%),Temperature: 2 (66.7%); Low Oxygen: 1 (33.3%),Yes: 3,4.5163847383916324e-06
JRIU01000031.1,45500,46500,3,0.018480997795088026,162.3288976744186,1.037547845306186e-06,CAS: 2 (66.7%); STC: 1 (33.3%),Temperature: 2 (66.7%); Low Oxygen: 1 (33.3%),Yes: 3,4.5163847383916324e-06
JRIU01000324.1,0,1000,3,0.018480997795088026,162.3288976744186,1.037547845306186e-06,CAS: 2 (66.7%); STC: 1 (33.3%),Temperature: 2 (66.7%); Low Oxygen: 1 (33.3%),Yes: 3,4.5163847383916324e-06
JRIU01000115.1,14000,15000,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 1 (50.0%); CAS: 1 (50.0%),Low Oxygen: 1 (50.0%); Temperature: 1 (50.0%),Yes: 2,0.00040266528324201504
JRIU01000242.1,24000,25000,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 2 (100.0%),Low Oxygen: 2 (100.0%),Yes: 2,0.00040266528324201504
JRIU01000179.1,1500,2500,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 2 (100.0%),Low Oxygen: 2 (100.0%),Yes: 2,0.00040266528324201504
JRIU01000179.1,1000,2000,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 2 (100.0%),Low Oxygen: 2 (100.0%),Yes: 2,0.00040266528324201504
JRIU01000242.1,23500,24500,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 2 (100.0%),Low Oxygen: 2 (100.0%),Yes: 2,0.00040266528324201504
JRIU01000033.1,61500,62500,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 1 (50.0%); CAS: 1 (50.0%),Low Oxygen: 1 (50.0%); Temperature: 1 (50.0%),Yes: 2,0.00040266528324201504
JRIU01000115.1,14500,15500,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 1 (50.0%); CAS: 1 (50.0%),Low Oxygen: 1 (50.0%); Temperature: 1 (50.0%),Yes: 2,0.00040266528324201504
JRIU01000098.1,0,1000,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 1 (50.0%); CAS: 1 (50.0%),Low Oxygen: 1 (50.0%); Temperature: 1 (50.0%),Yes: 2,0.00040266528324201504
JRIU01000095.1,32500,33500,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,CAS: 2 (100.0%),Temperature: 2 (100.0%),Yes: 2,0.00040266528324201504
JRIU01000095.1,33000,34000,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,CAS: 2 (100.0%),Temperature: 2 (100.0%),Yes: 2,0.00040266528324201504
JRIU01000033.1,62000,63000,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 1 (50.0%); CAS: 1 (50.0%),Low Oxygen: 1 (50.0%); Temperature: 1 (50.0%),Yes: 2,0.00040266528324201504
JRIU01000147.1,0,1000,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,CAS: 2 (100.0%),Temperature: 2 (100.0%),Yes: 2,0.00040266528324201504
JRIU01000098.1,500,1500,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 1 (50.0%); CAS: 1 (50.0%),Low Oxygen: 1 (50.0%); Temperature: 1 (50.0%),Yes: 2,0.00040266528324201504
JRIU01000036.1,40500,41500,2,0.018480997795088026,108.21926511627908,0.00016868410514192522,STC: 1 (50.0%); CAS: 1 (50.0%),Low Oxygen: 1 (50.0%); Temperature: 1 (50.0%),Yes: 2,0.00040266528324201504
JRIU01000125.1,4000,5000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000112.1,0,1000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000012.1,135500,136500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000166.1,17500,18500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000125.1,3500,4500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000126.1,80000,81000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000104.1,2500,3500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000166.1,18000,19000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000135.1,43000,44000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000104.1,2000,3000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000186.1,57000,58000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000101.1,37500,38500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000101.1,38000,39000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000186.1,56500,57500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000188.1,11000,12000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000072.1,14500,15500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000072.1,15000,16000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000188.1,10500,11500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000158.1,19500,20500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000210.1,500,1500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000135.1,42500,43500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000032.1,107500,108500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000210.1,0,1000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000249.1,14500,15500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000057.1,14500,15500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000057.1,15000,16000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000212.1,74000,75000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000212.1,73500,74500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000240.1,13000,14000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000032.1,107000,108000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000240.1,12500,13500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000158.1,19000,20000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000249.1,14000,15000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000062.1,38000,39000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000323.1,0,1000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000031.1,127000,128000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000030.1,16500,17500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000030.1,17000,18000,1,0.018480997795088026,54.10963255813954,0.018311271335061496,STC: 1 (100.0%),Low Oxygen: 1 (100.0%),Yes: 1,0.018311271335061496
JRIU01000030.1,47500,48500,1,0.018480997795088026,54.10963255813954,0.018311271335061496,CAS: 1 (100.0%),Temperature: 1 (100.0%),Yes: 1,0.018311271335061496
