#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	75786	252131	99.9643	44.165	39.2	52
CM007965.1	1	844051	245584	843365	99.9187	43.0039	39.2	55.9
CM007966.1	1	341087	106660	340604	99.8584	46.2026	39.2	52.5
CM007967.1	1	1575129	456684	1574552	99.9634	42.8465	39.2	54.4
CM007968.1	1	572496	174012	571013	99.741	44.8971	39.2	56.5
CM007969.1	1	277781	83786	276812	99.6512	44.5658	39.2	55.1
CM007970.1	1	1092105	321647	1091691	99.9621	43.5341	39.2	56.8
CM007971.1	1	564939	169238	564789	99.9734	44.2429	39.2	55
CM007972.1	1	430780	131309	430621	99.9631	45.0033	39.2	57.5
CM007973.1	1	762303	234658	762072	99.9697	45.5127	39.2	54.6
CM007974.1	1	683383	200266	683040	99.9498	43.3085	39.2	58.3
CM007975.1	1	1084257	325156	1082448	99.8332	44.3225	39.2	53.4
LYZE01000019.1	1	3688	4442	3163	85.7646	174.517	39	0
LYZE01000020.1	1	19305	453222	18662	96.6693	3436.86	39.1	9.75
LYZE01000021.1	1	11673	188754	11438	97.9868	2377.06	39.1	0.00981
CM007976.1	1	929095	279769	929043	99.9944	44.529	39.2	56.7
CM007977.1	1	793416	230734	793017	99.9497	42.9839	39.2	55.5
CM007978.1	1	1108329	325316	1107719	99.945	43.4046	39.2	56.8
CM007979.1	1	986200	287199	985654	99.9446	43.0518	39.2	54.3
CM007980.1	1	6300	14823	6300	100	339.776	39.2	57.8
CM007981.1	1	94871	52791	92035	97.0107	81.9511	39.3	54.2
