#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	61712	252093	99.9493	35.6456	38.9	51.3
CM007965.1	1	844051	205907	843597	99.9462	35.747	38.9	55.7
CM007966.1	1	341087	84882	340609	99.8599	36.4648	38.9	52.2
CM007967.1	1	1575129	398432	1574539	99.9625	37.0596	38.9	54.5
CM007968.1	1	572496	143818	572113	99.9331	36.8133	38.9	56.3
CM007969.1	1	277781	67136	277162	99.7772	35.3898	38.9	54.6
CM007970.1	1	1092105	276680	1091592	99.953	37.1415	38.9	56.9
CM007971.1	1	564939	140188	564787	99.9731	36.3425	38.9	54.8
CM007972.1	1	430780	104303	430589	99.9557	35.4358	38.9	57.2
CM007973.1	1	762303	194058	761983	99.958	37.3155	38.9	54.3
CM007974.1	1	683383	167520	682866	99.9243	35.9385	38.9	58.4
CM007975.1	1	1084257	280028	1082571	99.8445	37.8394	38.9	53.5
LYZE01000019.1	1	3688	3458	2937	79.6367	134.039	38.8	0.0625
LYZE01000020.1	1	19305	396964	18691	96.8195	2980.34	38.8	10.3
LYZE01000021.1	1	11673	164298	11388	97.5585	2048.41	38.8	0.0132
CM007976.1	1	929095	236831	929042	99.9943	37.3752	38.9	56.8
CM007977.1	1	793416	195510	793024	99.9506	36.1107	38.9	55.2
CM007978.1	1	1108329	280639	1107841	99.956	37.1162	38.9	56.8
CM007979.1	1	986200	247712	985585	99.9376	36.7977	38.9	54.1
CM007980.1	1	6300	48770	6300	100	1108.15	38.9	58
CM007981.1	1	94871	300703	94836	99.9631	462.853	39	53.9
