#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JRIU01000371.1	1	283	602	283	100	231.622	39.2	54.8
JRIU01000370.1	1	1261	726	1261	100	80.9532	39.1	58.3
JRIU01000369.1	1	339	2342	339	100	792.525	39.2	59
JRIU01000368.1	1	300	147	300	100	64.0567	39	54.3
JRIU01000367.1	1	203	163	203	100	86.8522	39	56.7
JRIU01000366.1	1	243	217	243	100	94.3992	39.3	59.8
JRIU01000365.1	1	1642	1666	1642	100	141.424	39.1	60
JRIU01000364.1	1	1260	703	1260	100	75.5579	39.1	58.3
JRIU01000363.1	1	639	286	639	100	62.3975	39.1	59.9
JRIU01000362.1	1	346	211	346	100	75.7514	39.3	58.6
JRIU01000361.1	1	329	162	329	100	65.8663	39.2	59.8
JRIU01000360.1	1	466	209	466	100	61.2961	39.1	59.9
JRIU01000359.1	1	1539	1269	1539	100	112.981	39.1	59
JRIU01000358.1	1	473	291	473	100	81.5772	39.1	60
JRIU01000357.1	1	607	671	607	100	122.369	39.1	46.9
JRIU01000356.1	1	344	3044	344	100	982.209	39.2	59.9
JRIU01000355.1	1	367	4052	367	100	1237.29	39	60
JRIU01000354.1	1	330	319	330	100	116.455	39.1	40.9
JRIU01000353.1	1	222	2596	222	100	1289.24	39.2	57.9
JRIU01000352.1	1	244	1520	244	100	627.266	39.3	59.9
JRIU01000351.1	1	781	376	781	100	68.3291	39.1	56.8
JRIU01000350.1	1	730	475	730	100	79.7082	39	60
JRIU01000349.1	1	309	151	309	100	61.9126	39.1	59.8
JRIU01000348.1	1	216	1363	216	100	605.218	39.4	59.9
JRIU01000347.1	1	210	118	210	100	63.1714	39.1	60
JRIU01000346.1	1	394	245	394	100	74.2741	39.1	58.9
JRIU01000345.1	1	344	161	344	100	62.3953	39.3	60
JRIU01000344.1	1	210	2381	210	100	1110.85	39	59.9
JRIU01000343.1	1	220	194	220	100	90.4227	39	59.4
JRIU01000342.1	1	303	188	303	100	72.2607	39.2	57.3
JRIU01000341.1	1	236	118	236	100	63.1229	39.2	55.7
JRIU01000340.1	1	278	258	278	100	102.439	39	56.9
JRIU01000339.1	1	387	1472	387	100	438.734	39.2	59.9
JRIU01000338.1	1	479	4452	479	100	1179.87	39.1	58.6
JRIU01000337.1	1	282	1225	282	100	342.507	39.1	55.7
JRIU01000336.1	1	216	233	216	100	107.667	38.8	58.4
JRIU01000335.1	1	584	321	584	100	75.0719	39.2	59.8
JRIU01000334.1	1	433	402	433	100	107.522	39.2	59.6
JRIU01000333.1	1	785	3268	785	100	538.275	39.1	60
JRIU01000332.1	1	386	2107	386	100	633.544	39.2	59.9
JRIU01000331.1	1	901	629	901	100	86.8846	39.1	52.5
JRIU01000330.1	1	256	339	256	100	108.527	39.1	54.9
JRIU01000329.1	1	241	195	241	100	88.0498	39.1	58.1
JRIU01000328.1	1	217	200	217	100	93.2811	39.3	59.8
JRIU01000327.1	1	969	400	955	98.5552	54.2797	39	28.3
JRIU01000326.1	1	1240	627	1240	100	65.5516	39.1	57.3
JRIU01000325.1	1	1039	917	1039	100	108.807	39.1	59.8
JRIU01000324.1	1	4966	3147	4966	100	86.8079	39	55.5
JRIU01000323.1	1	1059	544	1059	100	72.6025	39.1	57.5
JRIU01000322.1	1	3431	1730	3431	100	73.2113	39.1	59.6
JRIU01000321.1	1	2960	8033	2960	100	376.227	38.9	56
JRIU01000320.1	1	19759	8590	19759	100	62.9256	39.1	30
JRIU01000319.1	1	15446	7698	15446	100	72.0662	39.1	26.9
JRIU01000318.1	1	2936	3289	2936	100	149.422	39.1	24.4
JRIU01000317.1	1	1483	3706	1362	91.8409	270.874	39.1	47.4
JRIU01000316.1	1	1799	948	1799	100	71.7471	39.1	60
JRIU01000315.1	1	1982	5460	1982	100	377.957	38.9	52.8
JRIU01000314.1	1	414	1237	414	100	303.133	39.1	34
JRIU01000313.1	1	2343	5922	2343	100	240.965	39	58.9
JRIU01000312.1	1	1697	1334	944	55.6276	107.936	39	50.4
JRIU01000311.1	1	2300	388	2280	99.1304	24.3465	39.1	16.9
JRIU01000310.1	1	386	288	386	100	102.13	39.2	59.9
JRIU01000309.1	1	4416	2405	4416	100	78.1368	39.1	59.7
JRIU01000308.1	1	318	302	318	100	102.148	39.1	60
JRIU01000307.1	1	368	427	368	100	130.177	39.1	60
JRIU01000306.1	1	2554	1302	2554	100	70.3406	39	59.7
JRIU01000305.1	1	311	180	311	100	72.6109	38.9	59.5
JRIU01000304.1	1	265	266	265	100	112.242	39	55.3
JRIU01000303.1	1	667	539	667	100	105.396	39.2	60
