SGD_Gene	W303_ID	Total_Variants	High_Impact	Moderate_Impact	Low_Impact	Modifier_Impact	Samples_With_Variants
YHR072W	w303_scaffold_80	0	0	0	0	0	0
YHR007C	w303_scaffold_139	0	0	0	0	0	0
YNL280C	w303_scaffold_15	0	0	0	0	0	0
