SGD_Gene	W303_ID	Gene	Coordinates	Description
YHR190W	W303_0BY00190	W3030BY00190	19026..20360	similar to ERG9
YGR175C	W303_0AJ00440	W3030AJ00440	complement(71492..72982)	similar to ERG1
YHR072W	W303_0CB00150	W3030CB00150	9160..11355	similar to ERG7
YHR007C	W303_0EI00110	W3030EI00110	complement(3375..4967)	similar to ERG11
YNL280C	W303_0O00140	W3030O00140	complement(6598..7914)	similar to ERG24
YGR060W	W303_0W00270	W3030W00270	35900..36829	similar to ERG25
YML008C	W303_0S00270	W3030S00270	complement(28556..29707)	similar to ERG6
YMR202W	W303_0AD00260	W3030AD00260	33370..34038	similar to ERG2
YLR056W	W303_0E01010	W3030E01010	complement(196480..197577)	similar to ERG3
YMR015C	W303_0S00490	W3030S00490	complement(77542..79158)	similar to ERG5
YGL012W	W303_0Y00390	W3030Y00390	complement(55892..57313)	similar to ERG4
