Scaffold	Variants	Length_kb	Density_per_kb
JRIU01000031.1	21	128.238	.163
JRIU01000033.1	13	63.080	.206
JRIU01000243.1	7	9.473	.738
JRIU01000168.1	6	.985	6.091
JRIU01000028.1	6	.976	6.147
JRIU01000289.1	5	.219	22.831
JRIU01000148.1	5	14.492	.345
JRIU01000341.1	4	.236	16.949
JRIU01000135.1	4	68.146	.058
JRIU01000051.1	4	.230	17.391
JRIU01000314.1	3	.414	7.246
JRIU01000300.1	3	.272	11.029
JRIU01000231.1	3	.272	11.029
JRIU01000117.1	3	.211	14.218
JRIU01000064.1	3	108.796	.027
JRIU01000252.1	2	102.309	.019
JRIU01000198.1	2	.283	7.067
JRIU01000157.1	2	.307	6.514
JRIU01000072.1	2	150.714	.013
JRIU01000408.1	1	1.121	.892
JRIU01000402.1	1	2.698	.370
JRIU01000396.1	1	4.047	.247
JRIU01000394.1	1	3.612	.276
JRIU01000378.1	1	2.401	.416
JRIU01000375.1	1	2.465	.405
JRIU01000337.1	1	.282	3.546
JRIU01000323.1	1	1.059	.944
JRIU01000316.1	1	1.799	.555
JRIU01000292.1	1	2.913	.343
JRIU01000290.1	1	.225	4.444
JRIU01000283.1	1	.981	1.019
JRIU01000280.1	1	.226	4.424
JRIU01000262.1	1	3.968	.252
JRIU01000260.1	1	1.073	.931
JRIU01000254.1	1	4.950	.202
JRIU01000249.1	1	103.684	.009
JRIU01000240.1	1	61.119	.016
JRIU01000235.1	1	74.472	.013
JRIU01000220.1	1	74.430	.013
JRIU01000216.1	1	85.747	.011
JRIU01000209.1	1	.377	2.652
JRIU01000191.1	1	172.874	.005
JRIU01000181.1	1	.230	4.347
JRIU01000174.1	1	.337	2.967
JRIU01000172.1	1	.531	1.883
JRIU01000171.1	1	.269	3.717
JRIU01000166.1	1	20.288	.049
JRIU01000164.1	1	133.823	.007
JRIU01000158.1	1	117.423	.008
JRIU01000149.1	1	23.978	.041
JRIU01000142.1	1	68.880	.014
JRIU01000139.1	1	.270	3.703
JRIU01000134.1	1	2.850	.350
JRIU01000128.1	1	4.176	.239
JRIU01000125.1	1	43.186	.023
JRIU01000123.1	1	117.283	.008
JRIU01000122.1	1	140.950	.007
JRIU01000120.1	1	9.674	.103
JRIU01000101.1	1	79.474	.012
JRIU01000098.1	1	8.525	.117
JRIU01000090.1	1	4.205	.237
JRIU01000081.1	1	1.140	.877
JRIU01000079.1	1	14.050	.071
JRIU01000054.1	1	4.663	.214
JRIU01000037.1	1	243.759	.004
JRIU01000032.1	1	112.697	.008
JRIU01000030.1	1	102.607	.009
JRIU01000027.1	1	200.129	.004
JRIU01000019.1	1	99.425	.010
JRIU01000012.1	1	150.181	.006
JRIU01000007.1	1	260.032	.003
